,Variable,P-Value
883,sentinel_2_ndbi_std_dev_9x9,0.09976226331189364
541,swir16_std_dev_5x5,0.0999512401746949
857,o3_july24_std_dev_9x9,0.10037233526758502
578,has_commercial_res1000_std_dev_5x5,0.10090005738916277
848,has_commercial_res30_std_dev_9x9,0.10266869926844681
757,sentinel_2_ibi_mean_9x9,0.10338150313076934
501,sentinel_2_ibi_mean_5x5,0.10372744379114851
249,street_orientation_res100_mean_3x3,0.104111135549273
189,zonedist_level2_res1000_mean_3x3,0.10547990026258619
331,zonedist_level1_res30_std_dev_3x3,0.10579821658198459
314,has_manufacture_res100_std_dev_3x3,0.10716704986210998
572,has_park_res100_std_dev_5x5,0.10775338045941317
553,awei_sh_std_dev_5x5,0.10866775894486284
545,ndvi_std_dev_5x5,0.11068161858375929
844,zonedist_level2_res30_std_dev_9x9,0.1109544905148306
854,has_manufacture_res500_std_dev_9x9,0.11122596717117228
201,has_park_res200_mean_3x3,0.11181635589011571
433,no2_july24_mean_5x5,0.11326058981612275
779,building_year_res30_std_dev_9x9,0.1136006110132593
254,has_residence_res30_distance_mean_3x3,0.11481812531032655
116,sentinel_2_albedo,0.11617646916038728
383,has_residence_res30_distance_std_dev_3x3,0.1168867835988128
555,nbr_std_dev_5x5,0.1169955832362881
450,has_commercial_res1000_mean_5x5,0.11767224293812881
91,B03,0.1179742158203411
124,street_orientation_res30,0.1181424744736872
336,has_commercial_res30_std_dev_3x3,0.11825078061332348
240,sentinel_2_nbr_mean_3x3,0.11847919781164973
843,zonedist_level1_res30_std_dev_9x9,0.11939138023304799
357,B11_std_dev_3x3,0.12023261206387147
626,sentinel_2_si_std_dev_5x5,0.12073211933206285
788,canopy_heigth_count_res30_std_dev_9x9,0.12092383049712695
374,sentinel_2_albedo_std_dev_3x3,0.12129443216905998
571,has_commercial_res100_std_dev_5x5,0.12361055928717253
733,B03_mean_9x9,0.1252756032027507
563,overlay_level1_res30_std_dev_5x5,0.12591274044361653
322,has_commercial_res1000_std_dev_3x3,0.12665816865508628
187,has_park_res100_mean_3x3,0.1266838599976175
590,has_residence_res30_std_dev_5x5,0.127916088732111
807,ndwi_std_dev_9x9,0.12815183148008058
804,gndvi_std_dev_9x9,0.12815183148008058
205,has_residence_res30_mean_3x3,0.12889466175430844
400,building_area_per_pixel_res30_mean_5x5,0.12916565864294025
396,building_area_res30_mean_5x5,0.12916565864294025
92,B04,0.129177048939793
326,zonedist_level3_res200_std_dev_3x3,0.1305197880705514
332,zonedist_level2_res30_std_dev_3x3,0.13079922971009866
184,has_residence_res100_mean_3x3,0.13101199970380942
38,awei_nsh,0.13140473556784518
528,building_area_per_pixel_res30_std_dev_5x5,0.13144497133869595
524,building_area_res30_std_dev_5x5,0.13144497352042758
629,sentinel_2_ibi_std_dev_5x5,0.13205780409950138
701,zonedist_level1_res1000_mean_9x9,0.13260131799097116
588,zonedist_level2_res30_std_dev_5x5,0.13397639898499714
732,B02_mean_9x9,0.13429670594956472
594,zonedist_level1_res500_std_dev_5x5,0.1345277850318403
837,zonedist_level2_res200_std_dev_9x9,0.1357060170115505
221,B04_mean_3x3,0.13584116337177754
554,ndsi_std_dev_5x5,0.13616237917925492
741,B11_mean_9x9,0.13651114478910628
751,sentinel_2_awei_sh_mean_9x9,0.138862445531658
810,ndsi_std_dev_9x9,0.13891678343133562
466,zonedist_level1_res500_mean_5x5,0.14060480554799104
271,building_area_per_pixel_res30_std_dev_3x3,0.1417796996916205
267,building_area_res30_std_dev_3x3,0.1417796996916205
894,street_orientation_res30_std_dev_9x9,0.14201763836543338
735,B05_mean_9x9,0.14318436084248762
214,has_commercial_res500_mean_3x3,0.14503083650091328
758,sentinel_2_albedo_mean_9x9,0.14624512077762017
734,B04_mean_9x9,0.1473808042264788
879,sentinel_2_awei_sh_std_dev_9x9,0.14738080651457647
251,street_traffic_res30_mean_3x3,0.14882360227441074
787,canopy_heigth_res30_std_dev_9x9,0.14905995013429488
441,has_residence_res100_mean_5x5,0.1497109681777073
342,has_manufacture_res500_std_dev_3x3,0.15200567858884725
25,green,0.15383595215822016
434,overlay_level2_res30_mean_5x5,0.15386197195746087
453,zonedist_level2_res200_mean_5x5,0.15393188156729418
639,has_residence_res30_distance_std_dev_5x5,0.15566039582124316
8,building_year_res30,0.1558086712811562
587,zonedist_level1_res30_std_dev_5x5,0.15712590179855337
542,swir22_std_dev_5x5,0.15880948307859566
652,building_area_res30_mean_9x9,0.1594520147706476
656,building_area_per_pixel_res30_mean_9x9,0.15946713103860422
449,has_manufacture_res1000_mean_5x5,0.16099986367639674
212,has_residence_res500_mean_3x3,0.16154708281269842
826,has_manufacture_res100_std_dev_9x9,0.16265886550360112
347,B01_std_dev_3x3,0.1661402974271164
436,sd_level1_res30_mean_5x5,0.1668306602202217
548,gndvi_std_dev_5x5,0.1672629853456071
551,ndwi_std_dev_5x5,0.1672629853456071
176,no2_july24_mean_3x3,0.16729423654821834
511,has_residence_res30_distance_mean_5x5,0.16755210828579192
107,sentinel_2_ndwi,0.16848879556672833
104,sentinel_2_gndvi,0.16848879743873157
614,B12_std_dev_5x5,0.17131123303832124
532,canopy_heigth_count_res30_std_dev_5x5,0.1720247901708863
310,zonedist_level1_res100_std_dev_3x3,0.17316178852865555
760,street_traffic_res100_mean_9x9,0.17328158667009946
824,zonedist_level3_res100_std_dev_9x9,0.17349091272087136
557,ndbi_std_dev_5x5,0.17358801040209937
454,zonedist_level3_res200_mean_5x5,0.1739233622115557
377,street_lanes_res100_std_dev_3x3,0.17454018074658134
592,has_commercial_res30_std_dev_5x5,0.17526598295000245
